,beer_style,precision,recall,f1,support
0,Altbier,0.004481434058898848,0.013341804320203304,0.006709265175718851,1574
1,American Adjunct Lager,0.0,0.0,0.0,6047
2,American Amber / Red Ale,0.03180760279286268,0.013228651322865131,0.01868590960881124,9298
3,American Amber / Red Lager,0.14154103852596314,0.09130199891950297,0.11100164203612478,1851
4,American Barleywine,0.0012106537530266344,0.00018385732671446958,0.00031923383878691144,5439
5,American Black Ale,0.005499114549352223,0.025256849315068493,0.009031764255644852,2336
6,American Blonde Ale,0.00851063829787234,0.0007754943776657619,0.0014214641080312722,2579
7,American Brown Ale,0.0,0.0,0.0,5026
8,American Dark Wheat Ale,0.0,0.0,0.0,284
9,American Double / Imperial IPA,0.0,0.0,0.0,17309
10,American Double / Imperial Pilsner,0.018262987012987012,0.11739130434782609,0.03160852259424022,1150
11,American Double / Imperial Stout,0.13555233960443802,0.027775032124147475,0.046103363412633304,10117
12,American IPA,0.04918032786885246,0.0008967078013578718,0.001761301685817328,23419
13,American Malt Liquor,0.006456075628314503,0.03669724770642202,0.010980392156862745,763
14,American Pale Ale (APA),0.02247191011235955,0.0009510977252912737,0.0018249562770891947,12617
15,American Pale Lager,0.0,0.0,0.0,1777
16,American Pale Wheat Ale,0.0,0.0,0.0,4979
17,American Porter,0.0,0.0,0.0,10009
18,American Stout,0.004739336492890996,0.00040567951318458417,0.0007473841554559044,4930
19,American Strong Ale,0.0,0.0,0.0,6375
20,American Wild Ale,0.0,0.0,0.0,3495
21,Baltic Porter,0.0,0.0,0.0,2362
22,Belgian Dark Ale,0.0007189072609633358,0.0007830853563038371,0.0007496251874062969,1277
23,Belgian IPA,0.009582982308340354,0.03761885076477883,0.01527486361728913,2419
24,Belgian Pale Ale,0.0,0.0,0.0,3932
25,Belgian Strong Dark Ale,0.022131147540983605,0.010691657866948258,0.014417942328230687,7576
26,Belgian Strong Pale Ale,0.0,0.0,0.0,6203
27,Berliner Weissbier,0.0,0.0,0.0,709
28,Bière de Champagne / Bière Brut,0.0,0.0,0.0,224
29,Bière de Garde,0.0,0.0,0.0,1330
30,Black & Tan,0.0,0.0,0.0,487
31,Bock,0.0,0.0,0.0,2315
32,Braggot,0.001059286410868615,0.2889908256880734,0.0021108356228640357,218
33,California Common / Steam Beer,0.0,0.0,0.0,807
34,Chile Beer,0.0,0.0,0.0,460
35,Cream Ale,0.0,0.0,0.0,1017
36,Czech Pilsener,0.0,0.0,0.0,2557
37,Doppelbock,0.0,0.0,0.0,4391
38,Dortmunder / Export Lager,0.0013504388926401081,0.0020597322348094747,0.001631321370309951,971
